id,title,genre,language,director,year,price,stock
19,run lola run,Thriller,German,Tom Tykwer,1998,5.75,10
4,spirited away,Animation,Japanese,Hayao Miyazaki,2001,5.5,9
17,the secret in their eyes,Mystery,Spanish,Juan José Campanella,2009,7.25,9
9,the intouchables,Comedy-Drama,French,Olivier Nakache,2011,7.75,9
13,life of pi,Adventure,English,Ang Lee,2012,8,9
15,the lives of others,Drama,German,Florian Henckel,2006,7.5,9
18,let the right one in,Horror,Swedish,Tomas Alfredson,2008,6.5,9
14,memories of murder,Crime,Korean,Bong Joon-ho,2003,6.25,9
20,the hunt,Drama,Danish,Thomas Vinterberg,2012,7.5,10
8,the shawshank redemption,Drama,English,Frank Darabont,1994,6.5,10
10,oldboy,Action,Korean,Park Chan-wook,2003,6.75,8
3,amélie,Romantic Comedy,French,Jean-Pierre Jeunet,2001,9,6
21,a separation,Drama,Persian,Asghar Farhadi,2011,7.75,8
6,city of god,Crime,Portuguese,Fernando Meirelles,2002,7,7
2,parasite,Thriller,Korean,Bong Joon-ho,2019,9,5
5,the godfather,Crime,English,Francis Ford Coppola,1972,8,4
7,pan's labyrinth,Fantasy,Spanish,Guillermo del Toro,2006,8.5,8
12,the grand budapest hotel,Comedy,English,Wes Anderson,2014,8.25,8
16,her,Science Fiction,English,Spike Jonze,2013,8.75,1
1,inception,Science Fiction,English,Christopher Nolan,2010,7.5,1
11,"crouching tiger, hidden dragon",Action,Mandarin,Ang Lee,2000,7.25,8
